User,Sequence,TotalFrames,MissingFrames,PctMissing,LongestConsecutiveMissing
User2 (user2),P2_S3_R1,600,0,0.0,0
User2 (user2),P2_S3_R2,600,0,0.0,0
User2 (user2),P2_S3_R3,600,0,0.0,0
User2 (user2),P2_S3_R4,750,0,0.0,0
User2 (user2),P2_S3_R5,750,0,0.0,0
User2 (user2),P2_S3_R7,750,0,0.0,0
User2 (user2),P2_S3_R8,750,0,0.0,0
User2 (user2),P2_S4_R1,600,0,0.0,0
User2 (user2),P2_S4_R2,600,0,0.0,0
User2 (user2),P2_S4_R3,600,0,0.0,0
User2 (user2),P2_S4_R4,600,0,0.0,0
User2 (user2),P2_S4_R6,750,0,0.0,0
User2 (user2),P2_S4_R7,750,0,0.0,0
User2 (user2),P2_S4_R8,750,0,0.0,0
User2 (user2),P2_S5_R1,600,0,0.0,0
User2 (user2),P2_S5_R2,600,0,0.0,0
User2 (user2),P2_S5_R3,600,0,0.0,0
User2 (user2),P2_S5_R4,750,0,0.0,0
User2 (user2),P2_S5_R5,750,0,0.0,0
User2 (user2),P2_S5_R6,750,0,0.0,0
User2 (user2),P2_S6_R1,600,0,0.0,0
User2 (user2),P2_S6_R2,600,0,0.0,0
User2 (user2),P2_S6_R3,600,0,0.0,0
User2 (user2),P2_S6_R4,750,0,0.0,0
User2 (user2),P2_S6_R5,750,0,0.0,0
User2 (user2),P2_S6_R6,750,0,0.0,0
User2 (user2),P2_S7_R1,600,0,0.0,0
User2 (user2),P2_S7_R2,600,0,0.0,0
User2 (user2),P2_S7_R3,600,0,0.0,0
User2 (user2),P2_S7_R4,600,0,0.0,0
User2 (user2),P2_S7_R5,750,0,0.0,0
User2 (user2),P2_S7_R6,750,0,0.0,0
User2 (user2),P2_S8_R1,600,0,0.0,0
User2 (user2),P2_S8_R2,600,0,0.0,0
User2 (user2),P2_S8_R3,600,0,0.0,0
User2 (user2),P2_S8_R4,600,0,0.0,0
User2 (user2),P2_S8_R5,750,0,0.0,0
User2 (user2),P2_S8_R6,750,0,0.0,0
User2 (user2),P2_S8_R7,750,0,0.0,0
User2 (user2),P2_S9_R1,600,4,0.6666666666666667,4
User2 (user2),P2_S9_R2,600,0,0.0,0
User2 (user2),P2_S9_R3,600,0,0.0,0
User2 (user2),P2_S9_R4,750,5,0.6666666666666667,4
User2 (user2),P2_S9_R5,750,1,0.13333333333333333,1
User2 (user2),P2_S9_R6,750,0,0.0,0
User3 (user3),P3_S10_R1,750,0,0.0,0
User3 (user3),P3_S10_R2,750,0,0.0,0
User3 (user3),P3_S10_R3,750,0,0.0,0
User3 (user3),P3_S10_R4,750,0,0.0,0
User3 (user3),P3_S10_R5,750,0,0.0,0
User3 (user3),P3_S11_R1,750,0,0.0,0
User3 (user3),P3_S11_R2,750,0,0.0,0
User3 (user3),P3_S11_R3,750,0,0.0,0
User3 (user3),P3_S11_R4,750,0,0.0,0
User3 (user3),P3_S11_R5,750,0,0.0,0
User3 (user3),P3_S1_R1,750,0,0.0,0
User3 (user3),P3_S1_R2,750,0,0.0,0
User3 (user3),P3_S1_R3,750,0,0.0,0
User3 (user3),P3_S1_R4,750,0,0.0,0
User3 (user3),P3_S1_R5,750,0,0.0,0
User3 (user3),P3_S2_R3,750,0,0.0,0
User3 (user3),P3_S2_R4,750,0,0.0,0
User3 (user3),P3_S2_R5,750,0,0.0,0
User3 (user3),P3_S2_R6,750,0,0.0,0
User3 (user3),P3_S2_R7,750,0,0.0,0
User3 (user3),P3_S2_R8,750,0,0.0,0
User3 (user3),P3_S3_R1,750,0,0.0,0
User3 (user3),P3_S3_R2,750,0,0.0,0
User3 (user3),P3_S3_R3,750,0,0.0,0
User3 (user3),P3_S3_R4,750,0,0.0,0
User3 (user3),P3_S3_R5,750,0,0.0,0
User3 (user3),P3_S4_R1,750,0,0.0,0
User3 (user3),P3_S4_R2,750,0,0.0,0
User3 (user3),P3_S4_R3,750,0,0.0,0
User3 (user3),P3_S4_R4,750,0,0.0,0
User3 (user3),P3_S4_R5,750,0,0.0,0
User3 (user3),P3_S5_R2,750,0,0.0,0
User3 (user3),P3_S5_R3,750,0,0.0,0
User3 (user3),P3_S5_R4,750,0,0.0,0
User3 (user3),P3_S5_R5,750,0,0.0,0
User3 (user3),P3_S5_R6,750,0,0.0,0
User3 (user3),P3_S6_R1,750,0,0.0,0
User3 (user3),P3_S6_R2,750,0,0.0,0
