User,SeqID,Label,TotalSegments,TotalFrames,TotalMissing,MeanPctMissing,MaxPctMissing,MeanLongestConsec,MaxLongestConsec,OverallPctMissing
User2,S7,BIRD,6,518,0,0.0,0.0,0.0,0,0.0
User2,S7,COME,6,250,0,0.0,0.0,0.0,0,0.0
User2,S7,DRIVER,6,816,0,0.0,0.0,0.0,0,0.0
User2,S7,background,24,2316,0,0.0,0.0,0.0,0,0.0
User2,S8,BIG,7,439,0,0.0,0.0,0.0,0,0.0
User2,S8,FARMING,7,481,0,0.0,0.0,0.0,0,0.0
User2,S8,GREETINGS,7,642,0,0.0,0.0,0.0,0,0.0
User2,S8,WHICH,7,587,0,0.0,0.0,0.0,0,0.0
User2,S8,background,35,2501,0,0.0,0.0,0.0,0,0.0
User2,S9,READ,6,735,10,1.3466666666666667,3.85,1.5,4,1.36
User2,S9,TIGER,6,261,0,0.0,0.0,0.0,0,0.0
User2,S9,VAN,6,259,0,0.0,0.0,0.0,0,0.0
User2,S9,WHAT,6,156,0,0.0,0.0,0.0,0,0.0
User2,S9,background,30,2639,0,0.0,0.0,0.0,0,0.0
User3,S1,COME,5,338,0,0.0,0.0,0.0,0,0.0
User3,S1,GO,5,189,0,0.0,0.0,0.0,0,0.0
User3,S1,OUR,5,322,0,0.0,0.0,0.0,0,0.0
User3,S1,READ,5,522,0,0.0,0.0,0.0,0,0.0
User3,S1,background,25,2379,0,0.0,0.0,0.0,0,0.0
User3,S10,BOAT,5,441,0,0.0,0.0,0.0,0,0.0
User3,S10,FEBRUARY,5,511,0,0.0,0.0,0.0,0,0.0
User3,S10,SMALL,5,406,0,0.0,0.0,0.0,0,0.0
User3,S10,background,20,2392,0,0.0,0.0,0.0,0,0.0
User3,S11,AUGUST,5,579,0,0.0,0.0,0.0,0,0.0
User3,S11,GO,5,192,0,0.0,0.0,0.0,0,0.0
User3,S11,UGLY,5,405,0,0.0,0.0,0.0,0,0.0
User3,S11,WRITE,5,562,0,0.0,0.0,0.0,0,0.0
User3,S11,background,25,2012,0,0.0,0.0,0.0,0,0.0
User3,S2,BIG,6,370,0,0.0,0.0,0.0,0,0.0
User3,S2,FARMING,6,477,0,0.0,0.0,0.0,0,0.0
User3,S2,SMALL,6,488,0,0.0,0.0,0.0,0,0.0
User3,S2,VAN,6,431,0,0.0,0.0,0.0,0,0.0
User3,S2,background,30,2734,0,0.0,0.0,0.0,0,0.0
User3,S3,AUGUST,5,556,0,0.0,0.0,0.0,0,0.0
User3,S3,FEBRUARY,5,525,0,0.0,0.0,0.0,0,0.0
User3,S3,UGLY,5,336,0,0.0,0.0,0.0,0,0.0
User3,S3,WRITE,5,526,0,0.0,0.0,0.0,0,0.0
User3,S3,background,25,1807,0,0.0,0.0,0.0,0,0.0
User3,S4,BOAT,5,339,0,0.0,0.0,0.0,0,0.0
User3,S4,TIGER,5,313,0,0.0,0.0,0.0,0,0.0
