User,Sequence,Left_WristMid,Left_PalmWidth,Left_MiddleBone,Right_WristMid,Right_PalmWidth,Right_MiddleBone
User1 (user1),P1_S10_R1,95.69354548942194,58.710319423977396,65.96002787684705,93.1695559349359,57.14895171796801,64.13567913032519
User1 (user1),P1_S10_R2,96.13747848429742,58.66570392446654,66.20920334298877,93.74007151475946,57.37032510161363,64.60521478823486
User1 (user1),P1_S10_R3,94.89015675199055,57.947193479109195,65.34659683027098,92.46282861352367,56.54938937199672,63.66479494988777
User1 (user1),P1_S10_R4,95.40096862790736,58.36910694319822,65.79488382379803,94.42070833894645,57.6318055075926,65.08520973069857
User1 (user1),P1_S10_R5,97.92251219062517,59.13011548939078,67.59419626439443,95.01791039996397,57.36529675063466,65.71554448610372
User1 (user1),P1_S10_R6,98.02800295616728,59.0379913036807,67.65045118571834,94.31029988028486,57.04436271279449,65.21603262079297
User1 (user1),P1_S10_R7,97.3286393965354,58.86808036479325,67.10900978486531,94.44796713227984,57.17649393838558,65.46158801828726
User1 (user1),P1_S11_R1,97.19920289083078,58.734303100804084,66.8914512607408,92.87862148281357,56.81105597355918,64.14676641737267
User1 (user1),P1_S11_R2,99.06127947730658,59.55794754663201,68.30915677891309,94.56451760157607,57.54191421268215,65.62820753999787
User1 (user1),P1_S11_R3,98.44818521064144,59.22407597000811,67.82346780930803,95.22534994089665,58.110021326972316,66.18374403791277
User1 (user1),P1_S11_R4,99.80132649829385,59.70719433951701,68.74305594188765,95.81446766073911,58.41674097130762,66.67039367129004
User1 (user1),P1_S11_R5,98.57356161758808,59.261627421071616,68.03657885362733,91.85187676152736,55.6411798746332,63.50599899987516
User1 (user1),P1_S11_R6,98.43897195631399,59.14577495065862,67.92228551370961,90.51187374240207,54.90525637480819,62.69354152030242
User1 (user1),P1_S11_R7,98.41877884613176,58.89357487220421,67.90379467409838,90.68147149598623,55.06294603404349,62.803976063322644
User1 (user1),P1_S1_R1,95.90449738388877,57.995465952849045,66.04458186983521,92.42590858101879,55.8589082254752,63.73630153314989
User1 (user1),P1_S1_R2,95.33060866183297,57.79298136114194,65.6965849275938,92.68218646616934,55.97076314774927,63.85031130370149
User1 (user1),P1_S1_R3,94.89948377486382,57.812285526272255,65.76205495661604,91.73917160430874,55.52966671557059,63.30977542454215
User1 (user1),P1_S1_R4,95.2781067906692,57.961120806552785,65.59235783621978,92.0770666029227,56.169439999152594,63.64949056819771
User1 (user1),P1_S1_R5,95.67783640003132,58.069543351401855,65.81301034869038,91.16863236894221,55.73999118050157,63.10902245337683
User1 (user1),P1_S1_R6,98.04128545837978,59.41342622911671,67.80760186388937,96.10906930757776,57.89094882995259,66.29733465141737
User1 (user1),P1_S1_R7,97.70704703477425,59.05248107098098,67.51280853088753,95.14414364861496,57.21059108013976,65.72105363905709
User1 (user1),P1_S1_R8,97.470773153078,58.898646006167844,67.36273844728146,95.17828024938714,57.25653664799097,65.8510934691164
