User,Sequence,Left_Roll,Left_Pitch,Left_Yaw,Right_Roll,Right_Pitch,Right_Yaw
User1 (user1),P1_S10_R1,45.29136569389083,-8.724183161437825,-152.45410297721332,-38.38058137072413,-8.439089781595499,-141.9803719871544
User1 (user1),P1_S10_R2,40.16738955769173,-8.146542997908755,-154.25875416336604,-36.28193013054986,-6.742412817817606,-138.39399668590144
User1 (user1),P1_S10_R3,42.63605468418638,-9.68274802324202,-124.42479218229609,-39.5845425653301,-8.892015467453035,-149.2084579855614
User1 (user1),P1_S10_R4,49.08301300338978,-8.734501081800703,-112.94788148047404,-47.33469266206211,-10.33327531536005,-129.8185998823278
User1 (user1),P1_S10_R5,49.690599936587795,-5.714982796335759,121.56730507198591,-46.62788657953437,-10.805812951799359,-87.58883532582344
User1 (user1),P1_S10_R6,49.11090703676796,-1.5367809120784424,136.7016620819156,-40.885613584395266,-8.708017333452146,-100.21148965984091
User1 (user1),P1_S10_R7,46.22814134740802,-2.7216017646864805,134.5348204558137,-36.9552236354207,-6.598922861831497,-116.5123033649701
User1 (user1),P1_S11_R1,25.107145982535318,9.368399578195541,159.59795633682634,-35.156516080691915,4.343517797814287,-143.3636108882825
User1 (user1),P1_S11_R2,28.807533671254795,8.302298744303316,169.18652304271293,-36.32849578627039,7.058530620679801,-146.6979539194984
User1 (user1),P1_S11_R3,31.122998679971573,5.695991850447255,172.03042555344612,-37.5057997713449,6.520947498296479,-142.0889345985944
User1 (user1),P1_S11_R4,32.57560045277576,10.241506094161323,171.67920118481376,-37.69160899103923,8.629473382278789,-138.92819033096995
User1 (user1),P1_S11_R5,37.77094038051018,-3.630150257651965,134.76909969572984,-39.98593338218983,-6.742455634879646,-135.38831300533136
User1 (user1),P1_S11_R6,36.395229935534296,-3.3773258852649186,130.81546209037813,-39.31307121652116,-7.877581414148585,-130.27255922745465
User1 (user1),P1_S11_R7,36.2818679773686,-2.4906741583446044,130.02430634132435,-37.37569001719026,-6.640469066841171,-134.94840152387275
User1 (user1),P1_S1_R1,38.217215360903964,-17.65505609257984,43.33594468430358,-58.05941249130855,-6.519752673749136,-116.86562937923075
User1 (user1),P1_S1_R2,31.661593198075444,-16.103215902565733,54.86631459902953,-58.21777772324079,-5.514388567037211,-122.57674014547567
User1 (user1),P1_S1_R3,33.9614652457424,-18.546631799896325,-22.339781038686652,-64.83253733307934,-5.95452112612522,-109.10536228641969
User1 (user1),P1_S1_R4,40.56483214690973,-17.027314469262535,2.290119643828261,-60.031651633052775,-4.436068274825948,-108.9284574112436
User1 (user1),P1_S1_R5,38.58035394946141,-15.92731704548556,-51.016582422633256,-55.070404901288065,-4.887744027336625,-124.87547434058641
User1 (user1),P1_S1_R6,32.94251440804957,-4.766119589955015,150.4732052689535,-48.41844555445864,0.22036689646689175,-114.88405627180347
User1 (user1),P1_S1_R7,34.898226283958955,-4.625171645862435,151.9229907702014,-49.690479359269034,0.016868739195453012,-115.08388297454718
User1 (user1),P1_S1_R8,32.77398193439435,-4.2283073405820035,157.50682922604742,-48.36276918827452,0.3210890314392813,-106.78589923253566
User1 (user1),P1_S2_R1,83.69586780263315,-5.287249141831143,-70.7869405004409,-45.12113958869598,8.425489636366951,-115.367537393379
User1 (user1),P1_S2_R2,95.4536953979273,-5.256440715483931,-41.810959649542944,-42.59387156421761,11.202972650678761,-105.64342216345116
User1 (user1),P1_S2_R3,89.49961280487105,-6.0646525110158205,-22.68043309217847,-47.317194100376376,5.496715731387308,-102.09306276777524
User1 (user1),P1_S2_R4,75.08484515966715,-9.29100947109906,-45.115247660899314,-42.73099757661158,3.3214263671476916,-117.24161680391606
User1 (user1),P1_S2_R5,71.65559164483405,-6.721248253938643,-84.58563847989187,-41.78186938095862,4.834082081110777,-111.64404680027417
User1 (user1),P1_S2_R6,73.74181566469119,-6.228075636172422,-110.96678733534556,-37.63480260551815,3.573578064695152,-106.74044165455898
User1 (user1),P1_S2_R7,63.66915711754405,-0.33534461381174,103.25841593331981,-48.37205455560471,8.812091848088567,-111.00338432364963
User1 (user1),P1_S2_R8,60.63655800990728,1.5051753433733543,117.64023610217009,-43.82657172037606,8.4265533392952,-120.06685952403026
User1 (user1),P1_S2_R9,60.97750375497188,1.656179959141821,128.7878493698545,-43.43094478118514,8.332965440619923,-119.99965037432582
User1 (user1),P1_S3_R1,46.009628606447166,-11.024036716166554,-144.45293803806726,-34.81341100896406,-19.91462387040584,-154.85779461602493
User1 (user1),P1_S3_R2,42.670809611628115,-8.497421156084014,-148.2839202567556,-29.900468538641917,-19.979670892128684,-143.45958296851134
User1 (user1),P1_S3_R3,44.00529682133193,-12.151230284084622,-170.06201429380093,-31.365010938678704,-19.323843086565372,-153.3824486042022
User1 (user1),P1_S3_R4,34.000574439597166,0.9951352142367039,171.07509259867984,-32.57629975691867,-13.922290779910877,-146.15232042223192
User1 (user1),P1_S3_R5,32.90737943861616,1.7396950990548357,171.15546934395516,-31.57331103099815,-12.926581775628964,-149.0931525739446
User1 (user1),P1_S3_R7,35.15653731644331,-2.6226398575218437,172.72916287523807,-25.603803222462748,-12.26439583713946,-153.63324339140868
User1 (user1),P1_S4_R1,51.084914420283226,-25.356227947507545,-172.02862611274995,-48.622546886014334,-21.985500032328346,-127.3735364922514
User1 (user1),P1_S4_R2,54.40217328413163,-25.301869252601417,-161.5350965124522,-66.80502051653188,-19.332615352583247,-98.88903952091123
User1 (user1),P1_S4_R3,56.27653295022882,-26.79213185859695,-171.04816267916266,-73.09967082423789,-25.45436008131399,-161.45433916803756
User1 (user1),P1_S4_R4,47.384174096933876,-24.03991071546789,-163.0682168716005,-50.240020251842935,-26.636748601501807,-161.6345353088705
User1 (user1),P1_S4_R5,36.600969041967815,-13.261015524342524,146.25796895188464,-28.06030068257268,-11.388464782825375,-105.26992270772014
User1 (user1),P1_S4_R6,38.25400284007282,-10.930519939384236,152.84133465634957,-52.80516131296025,-9.923018247438637,-93.77642365480524
User1 (user1),P1_S5_R1,40.076972233648256,-26.090257834290206,-141.35594525158018,-33.67112904951001,-27.790817107710062,-112.74966578172904
User1 (user1),P1_S5_R2,44.24244991781133,-27.724825311815522,-146.60516550641893,-36.475917244978476,-30.50039380359995,-134.3381264846655
User1 (user1),P1_S5_R3,44.26258670974381,-25.471501302088395,-140.39645577463187,-34.5919659643225,-29.02524573218565,-138.5674465377425
User1 (user1),P1_S5_R4,43.853194442963584,-29.20140139292106,-136.67140440832475,-34.35419589252326,-31.170726191259988,-147.6806703602526
User1 (user1),P1_S5_R5,37.86303548942922,-17.712412346104653,114.02804458497349,-29.65780308455606,-30.1834019096086,-100.36816085580178
User1 (user1),P1_S5_R6,38.25807873569956,-19.12543780316466,121.63001823476702,-32.89715318934082,-25.043457671565687,-111.906418672699
User1 (user1),P1_S5_R7,40.498709429508914,-17.339327107319072,113.77940384941658,-35.46643436969705,-23.16949562005887,-110.28296936740908
User1 (user1),P1_S6_R1,25.860854035411613,-10.260107483959684,-80.59218626087858,-32.09400550893814,-11.751013748914497,-142.07237336324863
User1 (user1),P1_S6_R2,27.69126607462761,-12.573594121594496,-123.73930255766832,-43.02561545770894,-11.51509897098905,-140.81289534245033
User1 (user1),P1_S6_R3,26.16726331773066,-9.526130882000349,-173.3158585607454,-42.116372008848856,-10.31195353367303,-134.99551522199255
User1 (user1),P1_S6_R4,26.928231786859115,-12.342009303129824,-172.45349552930776,-41.50535166544967,-9.386689140357456,-129.3640529913214
User1 (user1),P1_S6_R5,21.396420453390167,-2.702443914179839,174.26785490302092,-33.50001513708207,-2.290238154471033,-140.79951368981034
User1 (user1),P1_S6_R6,23.417687744873202,-3.2324424185161904,175.5541916416765,-35.02114089291717,-2.4830199313360537,-147.72113434754942
User1 (user1),P1_S7_R1,38.054684474489775,-26.233296681633824,-132.48538053606842,-30.717521905782558,-16.029801176238564,-145.52293573213052
User1 (user1),P1_S7_R2,38.13415917033044,-22.99813327309095,-144.55329337534027,-32.9012178869106,-19.26532568601194,-145.2616119651385
User1 (user1),P1_S7_R3,39.12844025794517,-23.844887169258925,-140.8195699617988,-33.00587716359787,-16.690249774623577,-145.52846118843976
User1 (user1),P1_S7_R4,43.07674332223287,-20.84718429215362,109.80052323469741,-34.56993922303268,-13.924946505055555,-112.44099919893807
User1 (user1),P1_S7_R5,42.17819843605241,-18.55584090204261,105.45098160072223,-29.878312065533507,-12.70932662170748,-110.30205108246783
User1 (user1),P1_S7_R6,38.04157834848063,-20.818789066900116,111.35894472243743,-27.53957595524217,-13.697656410978357,-113.66154882443722
User1 (user1),P1_S8_R1,50.227881431478195,-4.329908813698038,-104.07914329033864,-44.99077709410471,-8.584132932892233,-137.06314053846594
User1 (user1),P1_S8_R2,53.310497147643474,-2.375677738009182,-134.88279492856606,-34.106894210919975,-8.028855313353317,-142.42527019369945
User1 (user1),P1_S8_R3,52.91568264816951,-6.354664511638529,-120.41752903216495,-43.5575166921805,-4.75809814502335,-137.74999668060727
User1 (user1),P1_S8_R4,46.12114955979908,-5.2965441145135115,128.73893232842926,-43.85455347057912,-10.224920976848168,-124.46567113935731
User1 (user1),P1_S8_R5,48.84823889317643,-1.112890043481247,132.25555812075055,-45.19144371279926,-5.714041646634126,-125.78947027565039
User1 (user1),P1_S8_R6,43.007905923896104,-1.4461912300085775,131.5799025786774,-41.4336818119964,-7.271724973639047,-119.0630101021626
User1 (user1),P1_S8_R7,43.8353352839297,-2.537091430727302,141.51984306649135,-38.6678244610372,-4.591151797019114,-129.44398382906613
User1 (user1),P1_S9_R1,65.35836687034535,-22.67336066018593,-113.85174789893713,-47.957524994972765,-14.572578755649234,-130.61169261238504
User1 (user1),P1_S9_R2,61.91134925723689,-20.1135997713353,-143.1634613109441,-47.80073506035229,-14.547911908302673,-118.05908459499568
User1 (user1),P1_S9_R3,59.69852892317538,-25.826440758848896,-140.7275885569661,-49.66775863416766,-16.068839357544384,-115.22923829194077
User1 (user1),P1_S9_R4,61.98942962478253,-23.02791445441373,-67.27230802292425,-50.840871438725216,-11.27520393991029,-121.20568970090366
User1 (user1),P1_S9_R5,51.07361497780007,-13.672797944184293,149.11915892230604,-48.56472651936193,-11.50835389355788,-136.42711337159062
